Company Name,City,Sector,Type,Phone,Email,Address
Bromed Surgical (Pvt) Ltd,Sialkot,Surgical Instruments,Exporter,052-4296061,info@bromedsurgical.com,"Surgical Zone, Small Industrial Estate, Sialkot"
Acumen Surgical (Pvt) Ltd,Sialkot,Surgical Instruments,Exporter,052-4292877,info@acumensurgical.com,"Defence Road, Sialkot"
Surgicon (Pvt) Ltd,Sialkot,Surgical Instruments,Exporter,052-4262531,jilani@surgicon.com.pk,"Kashmir Road, Sialkot"
Talon Sports (Pvt) Ltd,Sialkot,Sports Goods & Balls,Exporter,052-6526633,qiqbal@talonsports.com,"P.O. Box 243, Sialkot"
Tempo Sports Wear,Sialkot,Sports Wear & Apparel,Exporter,052-4268901,info@temposports.com,"Kashmir Road, Sialkot"
Zia Sports,Sialkot,Sports Wear & Martial Arts,Exporter,052-4601800,info@ziasport.com,"Ugoki Road, Sialkot"
House of Surgical (Pvt) Ltd,Sialkot,Surgical Instruments,Exporter,052-6526866,info@houseofsurgical.com,"SIAL Industrial Zone, Sialkot"
Forward Sports (Pvt) Ltd,Sialkot,FIFA Footballs & Sports,Exporter,052-4298811,info@forwardsports.com,"Wazirabad Road, Sialkot"
Subhan Surgical,Sialkot,Dental & Surgical,Exporter,052-3554432,info@subhansurgical.com,"Small Industrial Estate, Sialkot"
Interloop Limited,Faisalabad,Textile & Hosiery,Exporter,041-4360400,info@interloop.com.pk,"Al-Sadiq Plaza, Railway Road, Faisalabad"
Masood Textile Mills (MTM),Faisalabad,Apparel & Knitwear,Exporter,041-8784300,info@masoodtextile.com,"32-KM Sheikhupura Road, Faisalabad"
Chenab Limited,Faisalabad,Home Textiles & Fabric,Exporter,041-8754472,chenab@chenabgroup.com,"Nishatabad, Faisalabad"
Sadaqat Limited,Faisalabad,Home Textiles & Bedding,Exporter,041-8759600,info@sadaqatgroup.net,"2-KM Sahianwala Road, Khurrianwala, Faisalabad"
Klash Private Limited,Faisalabad,Garments & Denim,Exporter,041-8759300,info@klash.com.pk,"Khurrianwala Industrial Area, Faisalabad"
Faisal Fabrics (Pvt) Ltd,Faisalabad,Yarn & Fabrics,Exporter / Importer,041-8782211,sales@faisalfabrics.com,"Karkhana Bazar, Faisalabad"
Nestle Pakistan Ltd,Lahore,Food & Dairy,Exporter / Importer,042-111637853,consumer.services@pk.nestle.com,"308-Upper Mall, Lahore"
Descon Engineering Ltd,Lahore,Engineering & Machinery,Exporter / Importer,042-35923721,descon@descon.com,"18-KM Ferozepur Road, Lahore"
Packages Limited,Lahore,Packaging & Paper,Exporter / Importer,042-35811541,info@packages.com.pk,"Shahrah-e-Roomi, P.O. Amer Sidhu, Lahore"
Service Industries Ltd (Servis),Lahore,Footwear & Tyres,Exporter,042-35751990,info@servis.com,"Servis House, 10-F Gulberg II, Lahore"
Rustam Towels (Pvt) Ltd,Lahore,Terry Towels & Textiles,Exporter,042-35222211,info@rustamtowels.com,"Multan Road, Lahore"
Orient Electronics (Pvt) Ltd,Lahore,Home Appliances & Electronics,Importer / Exporter,042-35920101,info@orient.com.pk,"26-KM Multan Road, Lahore"
Engro Corporation,Karachi,Chemicals & Energy,Importer / Exporter,021-111211211,info@engro.com,"The Harbour Front Building, Clifton, Karachi"
Getz Pharma (Pvt) Ltd,Karachi,Pharmaceuticals,Exporter / Importer,021-38649000,info@getzpharma.com,"Plot 29-30, Korangi Industrial Area, Karachi"
Tapal Tea (Pvt) Ltd,Karachi,FMCG & Tea Importers,Importer,021-111827251,info@tapaltea.com,"Plot 40, Sector 15, Korangi Industrial Area, Karachi"
Matco Foods Limited,Karachi,Basmati Rice Exporters,Exporter,021-35050305,info@matcofoods.com,"L-24/1, Block-21, F.B. Area, Karachi"
Gul Ahmed Textile Mills,Karachi,Textiles & Fashion,Exporter / Importer,021-111485485,info@gulahmed.com,"HT/4, Landhi Industrial Area, Karachi"
Al-Karam Studio,Karachi,Textile & Fabrics,Exporter,021-111111257,info@alkaram.com,"HT/11, Landhi Industrial Estate, Karachi"
GFC Fans (General Fan Company),Gujranwala,Electrical Fans & Appliances,Exporter,055-3256000,info@gfcfans.com,"G.T. Road, Climaxabad, Gujranwala"
Royal Fans (Rafiq Engineering),Gujranwala,Electric Fans & Motors,Exporter,055-3842000,info@royalfans.com,"Rafiq Eco Park, G.T. Road, Gujranwala"
Master Sanitary Fittings,Gujranwala,Sanitaryware & Plumbing,Exporter / Importer,055-4271800,info@mastersanitary.com,"G.T. Road, Gujranwala"
Sonex Sanitary Fittings,Gujranwala,Bathroom & Kitchen Fittings,Exporter,055-4272400,info@sonex.com.pk,"Small Industrial Estate 1, Gujranwala"
NetSol Technologies,Islamabad / Lahore,IT & Software Export,Exporter,051-2801122,info@netsoltech.com,"Software Technology Park, Islamabad"
Shifa International Hospitals,Islamabad,Medical Equipment Importer,Importer,051-8463000,info@shifa.com.pk,"Sector H-8/4, Islamabad"
Ferozsons Laboratories Ltd,Rawalpindi,Pharmaceuticals,Exporter / Importer,051-4422501,info@ferozsons-labs.com,"197-A, The Mall, Rawalpindi"
